Return,Volatility,Sharpe Ratio,HDFC Bank,ITC,Reliance,Sun Pharma,TCS
0.11737496353257013,0.14051539454035478,0.40831799049671064,0.13319702814025883,0.33810081711389406,0.26031768763785473,0.2128998389048247,0.05548462820316767
0.10462150667484893,0.15030584754680373,0.29687139524597833,0.06528491964469331,0.02430844330237927,0.3625014516740258,0.2515713061862386,0.29633387919266296
0.10500640909167418,0.15412805752656064,0.2920065938281114,0.00928441856775223,0.4374675865753444,0.37546445396096845,0.09577331138241256,0.0820102295135221
0.1138066581259643,0.13954606552959173,0.38558348400409914,0.10567348701744264,0.17529742718559654,0.302352663027335,0.2488768479913802,0.1677995747782457
0.08622176409082041,0.14107745634752328,0.1858678542248948,0.3279089323822976,0.07475862795590853,0.15656841804409793,0.1963434706875973,0.24442055093009857
0.11354643499768845,0.14684850321529305,0.3646372542128304,0.36725660964283413,0.09339500936827015,0.2405269719138019,0.2770947873611645,0.021726621713929275
0.10770666673459454,0.14400725848249313,0.3312795982460441,0.22031347889007807,0.061837019615341784,0.023589604476236033,0.34409356465862545,0.3501663323597186
0.10565061772017262,0.1386418353714881,0.3292701484934376,0.3461985209559911,0.13045173465296678,0.04182836755518854,0.29302478826739564,0.188496588568458
0.1593744770111517,0.1451511242309817,0.6846276771030395,0.06706488061151515,0.27211947469110814,0.018897864803862807,0.4997078520563142,0.14220992783719966
0.10854618029398995,0.14036658548745048,0.3458528261936687,0.29764696063513457,0.14004035273287288,0.2336474855001212,0.24561687483944106,0.0830483262924303
0.10341150686012784,0.13664161301073965,0.31770341335707025,0.23212776908492264,0.1855741601907954,0.22492497005212214,0.21423016683942422,0.14314293383273552
0.048068832260702576,0.16322145750912626,-0.07309803454383632,0.5846090523382351,0.056117760751079805,0.12428306500020381,0.02868100821708529,0.20630911369339588
0.09853027396990705,0.14669964146500872,0.26264736290509216,0.18278209456719455,0.1276064892446817,0.38972788425638843,0.16776930895284434,0.13211422297889105
0.054984511167675304,0.1552276377536024,-0.03231054021633656,0.21305134783613078,0.05532395940451328,0.31492607609236467,0.029267053164625165,0.3874315635023662
0.10527542614613433,0.1419756325034364,0.31889575237524287,0.30904608415860246,0.07952440169323101,0.0022099064197855403,0.3263410401288654,0.2828785675995157
0.09983683263743753,0.1422628309422584,0.28002277456158947,0.3558463833727026,0.3764760835045363,0.0361430211975446,0.17497596547414,0.05655854645107635
0.06677115259648654,0.14652184689535455,0.046212580171218286,0.3937802611526303,0.2843720599406806,0.150968130510175,0.028997711078102298,0.1418818373184117
0.12241691717204017,0.13578515960026646,0.4596740715685522,0.10655548342995214,0.2390760342865853,0.2089136802933724,0.29072026849722094,0.15473453349286925
0.1023032913368126,0.13985386230863517,0.30248210981442886,0.0408747855899243,0.2437719935615583,0.26002025012372776,0.19183268331322972,0.2635002874115598
0.07518468035022473,0.15013985163664872,0.10113690792084272,0.31304796373723753,0.33139308860073646,0.27104503603657604,0.016114776895146062,0.06839913473030401
0.09899130834314004,0.14243673008554109,0.27374475895173683,0.013104597673915286,0.2653553444950673,0.13107271373349536,0.21205176497052794,0.3784155791269941
0.10316448739366907,0.15209443529329655,0.2838005697606973,0.1448527581143432,0.23845548049248316,0.43901756058763514,0.13294455842492925,0.04472964238060938
0.1139303495900454,0.14489403154634656,0.37220545949675615,0.10266884510580684,0.05712621352675763,0.3294236605329422,0.2863446765909299,0.22443660424356343
0.11015838041914343,0.134237111190595,0.373655094141043,0.2645917964283781,0.24400993109769578,0.056646172639626784,0.270997669301266,0.1637544305330334
0.07720352175393207,0.14561843774462788,0.11814109545730749,0.34220496749020374,0.3797766214590434,0.134774531732828,0.046641617975484315,0.09660226134244049
0.07161387224421285,0.1483079791160971,0.07830915311118486,0.16279749579307415,0.31179659786179087,0.3280782679176614,0.0026498918330304703,0.19467774659444295
0.0726005517444532,0.14774325020304996,0.08528681836317885,0.20462235895562697,0.10888123163535986,0.05876015254959307,0.1655050112974502,0.4622312455619699
0.0815667926495651,0.1420858533470999,0.15178705086761754,0.11220671325846668,0.180109104119765,0.24406785620048557,0.12624168435403774,0.33737464206724493
0.08021126849896744,0.14733787253404543,0.13717632914984038,0.4189659556759253,0.10960414221861062,0.21645880930254968,0.13097628231385086,0.12399481048906336
0.08625425819130965,0.15152420642030506,0.1732677491706133,0.024936156637285142,0.41207507811722593,0.33981892676115033,0.034800445597291466,0.18836939288704724
